time,avg_speed,congestion_score,queue_length,throughput,trip_completion,travel_time,waiting_time,ambulance_delay,incident_delay,reroute_count
216,1.52664178851431,0.8503759398496241,44.0,0.0,0.0,0.0,86.78887218045114,0.0,433.94436090225565,40
217,1.5674329221221726,0.8609022556390977,45.0,0.0,0.0,0.0,87.64977443609021,0.0,438.24887218045114,40
218,1.5484518773403366,0.8675689223057643,46.0,0.0,0.0,0.0,84.97067669172932,0.0,424.85338345864665,40
219,1.6039199607896546,0.8342355889724311,45.0,0.0,0.0,0.0,85.80491228070176,0.0,429.02456140350876,40
220,1.6651072375863307,0.8542355889724311,46.0,0.0,0.0,0.0,86.65914786967417,0.0,433.29573934837094,40
221,1.5922728145539693,0.8560537707906128,47.0,0.0,0.0,0.0,85.70974709501024,0.0,428.5487354750513,40
222,1.428128566999381,0.8378719526087947,46.0,0.0,0.0,0.0,86.54761904761905,0.0,432.73809523809524,40
223,1.1297928529025199,0.8383982683982684,47.0,0.0,0.0,0.0,86.18601731601731,0.0,430.9300865800866,40
224,0.77968666498074,0.8283982683982684,46.0,0.0,0.0,0.0,87.01441558441559,0.0,435.07207792207794,40
225,0.5154745678550606,0.8617316017316018,47.0,0.0,0.0,0.0,87.87614718614716,0.0,439.3807359307359,40
226,0.5701425484764846,0.9384848484848485,51.0,0.0,0.0,0.0,88.81463203463203,0.0,444.0731601731602,40
227,0.6251309521865924,0.9384848484848485,51.0,0.0,0.0,0.0,89.75311688311686,0.0,448.7655844155844,40
228,0.673594727776025,0.938961038961039,52.0,0.0,0.0,0.0,89.56207792207792,0.0,447.8103896103896,40
229,0.715348430106053,0.9294372294372295,51.0,0.0,0.0,0.0,90.49151515151515,0.0,452.4575757575758,40
230,0.7496660749008186,0.9294372294372295,51.0,0.0,0.0,0.0,91.42095238095239,0.0,457.1047619047619,40
231,0.7250433127994621,0.9294372294372295,52.0,0.0,0.0,0.0,90.95584415584418,0.0,454.7792207792208,40
232,0.6772542779823769,0.9112554112554113,51.0,0.0,0.0,0.0,91.86709956709956,0.0,459.33549783549785,40
233,0.6037569283167818,0.9112554112554113,51.0,0.0,0.0,0.0,92.77835497835498,0.0,463.8917748917749,40
234,0.6666583575028769,0.9207792207792208,52.0,0.0,0.0,0.0,93.69913419913419,0.0,468.495670995671,40
235,0.6380299977072197,0.9207792207792208,52.0,0.0,0.0,0.0,94.61991341991343,0.0,473.0995670995671,40
236,0.6632622912736029,0.9207792207792208,52.0,0.0,0.0,0.0,95.54069264069263,0.0,477.7034632034632,40
237,0.6890586005434364,0.938961038961039,53.0,0.0,0.0,0.0,96.47965367965368,0.0,482.3982683982684,40
238,0.7247311255024158,0.938961038961039,53.0,0.0,0.0,0.0,97.41861471861473,0.0,487.0930735930736,40
239,0.643575386876881,0.938961038961039,53.0,0.0,0.0,0.0,98.35757575757575,0.0,491.78787878787875,40
240,0.5421661558440096,0.938961038961039,53.0,0.0,0.0,0.0,99.2965367965368,0.0,496.48268398268397,45
241,0.47647768903419757,0.938961038961039,53.0,0.0,0.0,0.0,100.23549783549782,0.0,501.1774891774892,45
